enode://67123113a1d26b3df88b28c711931333defd407dba41a00a706094b89ca986e170420751bc641089bcf80087cf723ecc27739d6fcc362e84ba1aba81b2b5753d@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [06-11|18:10:09.267] New local node record                    seq=1,718,109,609,264 id=062d3cdfc08a1093 ip=<nil> udp=0 tcp=0
TRACE[06-11|18:10:13.422] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.422] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.422] >> PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.422] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.423] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.423] >> PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.423] << PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.423] << PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.923] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.923] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.923] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:13.924] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:14.424] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:14.424] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:14.425] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:14.425] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
